epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,608.508,1.24993,1.18738,1.54844,0.62788,0.44898,0.50151,0.18949,2.13662,1.77568,2.33703,0.0008912,0.0008912,0.0008912
44,622.085,1.19827,1.19038,1.52307,0.63984,0.44898,0.52007,0.22483,2.06358,1.68742,2.2331,0.0008648,0.0008648,0.0008648
45,635.795,1.21933,1.1678,1.5285,0.55577,0.53061,0.51609,0.18451,2.23593,1.73967,2.44949,0.0008384,0.0008384,0.0008384
46,649.447,1.19207,1.1727,1.50866,0.57112,0.54082,0.49839,0.18092,2.1701,1.65658,2.37,0.000812,0.000812,0.000812
47,662.987,1.17264,1.11575,1.48562,0.59336,0.54082,0.60739,0.22876,2.14877,1.63146,2.31715,0.0007856,0.0007856,0.0007856
48,676.411,1.19679,1.103,1.51289,0.5389,0.52041,0.50435,0.1817,2.29501,1.69544,2.51397,0.0007592,0.0007592,0.0007592
49,689.86,1.17781,1.10976,1.4975,0.68431,0.59184,0.61774,0.25017,1.99092,1.55766,2.19644,0.0007328,0.0007328,0.0007328
50,704.244,1.14992,1.1172,1.46869,0.66964,0.59985,0.67393,0.29983,2.01621,1.46462,2.18726,0.0007064,0.0007064,0.0007064
51,718.322,1.10887,1.06421,1.44825,0.6282,0.58163,0.63347,0.27051,1.97988,1.56442,2.15585,0.00068,0.00068,0.00068
52,732.107,1.14791,1.05903,1.47549,0.70691,0.53061,0.61571,0.26213,2.00419,1.6025,2.18371,0.0006536,0.0006536,0.0006536
53,745.642,1.11029,1.05515,1.45339,0.66637,0.50953,0.58003,0.2184,2.16896,1.69134,2.32812,0.0006272,0.0006272,0.0006272
54,759.137,1.08635,1.02328,1.42244,0.65278,0.60204,0.60817,0.25145,2.09814,1.54551,2.33851,0.0006008,0.0006008,0.0006008
55,772.705,1.10109,1.00162,1.45438,0.73304,0.57143,0.59954,0.27624,2.07685,1.72349,2.2302,0.0005744,0.0005744,0.0005744
56,786.135,1.05989,0.95332,1.40555,0.70799,0.5,0.55532,0.22395,2.14739,1.59821,2.34446,0.000548,0.000548,0.000548
57,799.685,1.10033,1.01292,1.46111,0.59463,0.61224,0.5835,0.2377,2.12246,1.50917,2.29444,0.0005216,0.0005216,0.0005216
58,813.038,1.05729,0.96732,1.41321,0.64036,0.57143,0.5914,0.2559,2.13989,1.42904,2.35647,0.0004952,0.0004952,0.0004952
59,826.654,1.05574,0.97522,1.42033,0.71258,0.5102,0.54391,0.24904,2.05721,1.53795,2.27153,0.0004688,0.0004688,0.0004688
60,840.232,1.00221,0.9072,1.36714,0.69948,0.58163,0.58466,0.25652,2.11324,1.47273,2.35404,0.0004424,0.0004424,0.0004424
61,853.912,0.99038,0.87581,1.35758,0.75311,0.56122,0.57194,0.25052,2.03376,1.48015,2.3089,0.000416,0.000416,0.000416
62,867.221,1.01353,0.90599,1.37079,0.70035,0.65306,0.64627,0.28829,1.9702,1.40422,2.19649,0.0003896,0.0003896,0.0003896
63,880.706,1.00462,0.90814,1.36032,0.7142,0.6375,0.64975,0.30077,2.00635,1.36246,2.23031,0.0003632,0.0003632,0.0003632
64,894.234,0.97746,0.87887,1.35284,0.70247,0.64286,0.65323,0.32299,1.93367,1.32358,2.10957,0.0003368,0.0003368,0.0003368
65,908.166,1.00155,0.88275,1.3664,0.71394,0.65306,0.64387,0.30991,1.96332,1.32186,2.19826,0.0003104,0.0003104,0.0003104
66,923.056,1.06991,0.94569,1.44049,0.72574,0.63265,0.63622,0.31045,1.98547,1.344,2.26266,0.000284,0.000284,0.000284
67,936.696,1.04472,0.82554,1.40784,0.70246,0.56122,0.57857,0.28265,1.95556,1.39159,2.15752,0.0002576,0.0002576,0.0002576
68,950.16,1.00145,0.83538,1.37166,0.75332,0.62324,0.68179,0.32489,1.86441,1.25016,2.07974,0.0002312,0.0002312,0.0002312
69,963.915,0.93152,0.78247,1.31585,0.74054,0.61162,0.64217,0.29587,1.9902,1.2803,2.2336,0.0002048,0.0002048,0.0002048
70,977.11,0.96316,0.79188,1.34616,0.7526,0.59184,0.65209,0.29697,1.94938,1.28739,2.16447,0.0001784,0.0001784,0.0001784
71,990.328,0.90566,0.71353,1.28092,0.66376,0.63265,0.63719,0.28715,2.03547,1.39523,2.27508,0.000152,0.000152,0.000152
72,1003.67,0.89237,0.70401,1.28141,0.73786,0.61224,0.65577,0.3151,1.9224,1.31927,2.14513,0.0001256,0.0001256,0.0001256
73,1016.95,0.91471,0.72197,1.29099,0.7268,0.62245,0.65109,0.29269,2.01306,1.33788,2.26436,9.92e-05,9.92e-05,9.92e-05
74,1030.38,0.86808,0.67541,1.26586,0.69508,0.67347,0.66424,0.31785,1.92459,1.28488,2.15277,7.28e-05,7.28e-05,7.28e-05
75,1043.42,0.87336,0.74142,1.27881,0.7572,0.63649,0.6821,0.33267,1.8907,1.26492,2.1238,4.64e-05,4.64e-05,4.64e-05
